date,language,type,title,by,overall,quality,repeatability
2013-04-28,Tamil,movie,Poi Saatchi,"Bhagyaraj, Radhika",2.0,2.0,1
2013-04-27,Tamil,movie,Yaaruda Mahesh,"Sundeep Kishan, Dimple Chopade",2.0,2.0,1
2013-03-15,English,movie,The 13th Warrior,Antonio Banderas,2.0,3.0,1
2013-03-10,English,fiction,The Oath of the Vayuputras,Amish Tripathi,3.0,3.0,1
2013-03-09,English,movie,Lincoln,"Steven Spielberg, Daniel Day-Lewis",4.0,4.0,2
2013-02-21,English,movie,Skyfall,Daniel Craig,3.0,4.0,2
2013-02-17,English,movie,Die Hard 2,Bruce Willis,4.0,4.0,2
2013-02-16,Tamil,movie,Pooveli,"Karthik, Kausalya",3.0,3.0,2
2013-02-12,Telugu,movie,Athidhi,"Mahesh Babu, Amrita Rao",3.0,3.0,2
2013-02-11,Hindi,movie,Asli Naqli,"Hrishikesh Mukherji, Dev Anand",3.0,4.0,2
2013-02-10,Hindi,movie,Anand,"Hrishikesh Mukherji, Rajesh Khanna, Amitabh Bachchan",4.0,4.0,2
2013-02-10,Hindi,movie,Chupke Chupke,"Hrishikesh Mukherji, Dharmendra, Sharmila Tagore",4.0,4.0,3
2013-02-06,Tamil,movie,Vishwaroopam,"Kamal Hassan, Rahul Bose",3.0,4.0,2
2013-02-04,Tamil,movie,Samar,"Vishal, Trisha",3.0,3.0,1
2013-02-03,Telugu,movie,Shakti,"Jr NTR, Ileana",2.0,2.0,1
2013-02-03,Tamil,movie,Mugamoodi,"Mysskin, Jeeva",3.0,4.0,2
2012-12-11,Tamil,movie,Thuppakki,"Vijay, Kajal Agarwal",3.0,3.0,2
2012-12-08,English,movie,Hotel Transylvania,Adam Sandler,3.0,3.0,2
2012-12-03,Telugu,movie,Darling,"Prabhas, Kajal Agarwal",2.0,3.0,1
2012-12-01,English,movie,Real Steel,Hugh Jackman,2.0,2.0,1
2012-12-01,Telugu,movie,Mirupakaya,Ravi Teja,2.0,2.0,1
2012-11-29,Hindi,movie,Rockstar,Ranbir Kapoor,3.0,3.0,1
2012-11-24,Telugu,movie,Mr Perfect,"Prabhas, Kajal Agarwal",2.0,2.0,1
2012-11-24,English,movie,The Dark Knight Rises,"Christopher Nolan, Christian Bale",4.0,5.0,2
2012-11-15,Telugu,movie,Happy,"Allu Arjun, Genelia",2.0,2.0,1
2012-11-12,Telugu,movie,Julai,"Allu Arjun, Ileana",3.0,3.0,2
2012-11-07,Telugu,movie,Aarya 2,"Allu Arjun, Kajal Agarwal",3.0,3.0,2
2012-11-01,English,movie,Iron Man 2,Robert Downey Jr,2.0,2.0,1
2012-10-28,English,movie,The Amazing Spiderman,"Andrew Garfield, Gwen Stacy",2.0,2.0,1
2012-10-26,Telugu,movie,Brindavanam,"Jr. NTR, Kajal Agarwal, Samantha",3.0,3.0,2
2012-10-25,English,movie,Iron Man,Robert Downey Jr,3.0,3.0,2
2012-10-24,Tamil,movie,Maatraan,Surya,2.0,2.0,1
2012-10-20,Tamil,movie,Rajapattai,"Vikram, K Viswanath",1.0,1.0,1
2012-10-10,Telugu,movie,Maryada Ramanna,"S S Rajamouli, Sunil",4.0,4.0,2
2012-09-20,Tamil,movie,Naan Ee,"Sudeep, Samantha",3.0,4.0,1
2012-09-19,English,movie,The Avengers,"Robert Downey Jr, Chris Evans, Samuel Jackson",4.0,4.0,2
2012-09-09,Telugu,movie,Neninthe,"Puri Jagannath, Ravi Teja",3.0,3.0,2
2012-08-27,Tamil,movie,Unnal Mudiyum Thambi,"K Balachandar, Kamal Hassan, Gemini Ganesan",4.0,4.0,2
2012-05-31,Tamil,movie,Aaru,"Surya, Trisha",3.0,3.0,2
2012-05-30,Tamil,movie,Vetri Vizha,"Kamal Hassan, Prabhu",3.0,3.0,2
2012-05-29,Tamil,movie,Ethir Neechal,"K Balachander, Nagesh",5.0,5.0,3
2012-05-24,Tamil,movie,Keladi Kanmani,"Vasanth, SPB, Radhika",4.0,4.0,2
2012-05-24,English,movie,Rounders,"Matt Damon, Edward Norton",3.0,3.0,1
2012-05-23,Tamil,movie,Kandukonden Kandukonden,"Ajit, Tabu, Mammooty, Aishwarya Rai",3.0,3.0,2
2012-05-19,English,movie,Breakheart Pass,"Charles Bronson, Richard Crenna",3.0,3.0,1
2012-05-18,Tamil,movie,Kadhalil Sodhappuvadhu Eppadi,"Siddharth, Amala Paul",3.0,3.0,2
2012-05-13,Hindi,movie,Mirch,"Konkona Sen, Bomman Irani",2.0,2.0,2
2012-05-12,Hindi,movie,Vicky Donor,"Ayushmann Khurrana, Annu Kapoor",3.0,3.0,2
2012-05-10,Tamil,movie,Oru Kal Oru Kannadi,"Udhayanidhi Stalin, Santhanam",3.0,3.0,2
2012-05-08,English,movie,The Man With One Red Shoe,"Tom Cruise, Jim Belushi",3.0,4.0,2
2012-05-05,English,movie,Mission Impossible - Ghost Protocol,"Tom Cruise, Simon Pegg",3.0,3.0,2
2012-04-29,Hindi,movie,Dil Se,"Mani Ratnam, Shah Rukh Khan",4.0,4.0,2
2012-04-28,Tamil,movie,Mounam Sammadham,"Mammootty, Amala",3.0,3.0,2
2012-04-22,Telugu,movie,Yamadonga,"Jr. NTR, Priya Mani",2.0,2.0,1
2012-04-20,Tamil,movie,Vettai,"Madhavan, Arya",3.0,3.0,2
2012-04-13,Hindi,movie,Dil Chahta Hai,"Aamir Khan, Saif Ali Khan, Akshay Khanna",4.0,4.0,2
2012-04-12,Hindi,movie,Bbuddah... Hoga Terra Baap,Amitabh Bachchan,3.0,3.0,2
2012-04-12,English,fiction,Inheritence,Christopher Paolini,3.0,3.0,1
2012-04-11,Telugu,movie,Pokkiri,"Mahesh Babu, Ileana",4.0,4.0,2
2012-04-10,Hindi,movie,Nauker,"Hrishikesh Mukherjee, Sanjeev Kumar, Jaya Bhaduri",3.0,3.0,1
2012-04-10,Tamil,movie,Thotti Jaya,Silambarasan,3.0,3.0,2
2012-04-07,English,fiction,The Secret of the Nagas,Amish Tripathi,2.0,2.0,1
2012-04-06,Tamil,movie,Manal Kayiru,"Visu, S Ve Sekhar",4.0,3.0,3
2012-04-05,English,fiction,The Immortals of Meluha,Amish Tripathi,2.0,2.0,2
2012-04-01,Telugu,movie,Khaleja,"Mahesh Babu, Anushka",2.0,2.0,1
2012-04-01,Tamil,movie,7aum Arivu,"Surya, Shruthi Hassan",2.0,2.0,1
2012-03-30,Tamil,movie,Kavalan,"Vijay, Asin",3.0,4.0,2
2012-03-24,English,movie,Sherlock Holmes,"Robert Downey Jr, Jude Law, Rachel McAdams",3.0,3.0,2
2012-03-22,Telugu,movie,Dookudu,Mahesh Babu,4.0,4.0,2
2012-03-20,English,fiction,Forged in Fire,Trish McCallan,2.0,1.0,2
2012-03-10,English,fiction,Past Lives,Ken McClure,2.0,2.0,1
2012-03-03,English,movie,Moneyball,Brad Pitt,3.0,3.0,1
2012-03-03,English,movie,The Adventures of Tintin,Steven Spielberg,3.0,4.0,2
2012-03-01,English,fiction,The Power Behind the Throne,Sally Nicoll,3.0,3.0,2
2012-02-29,English,movie,The Artist,Jean Dujardin,3.0,4.0,1
2012-02-23,English,fiction,Brainrush,Richard Bard,2.0,2.0,1
2012-02-15,English,fiction,Relentless,Robin Parrish,2.0,2.0,1
2012-01-30,Tamil,movie,Nanban,"Vijay, Srikanth, Jeeva",3.0,3.0,2
2012-01-20,Tamil,movie,Vettai,"Madhavan, Arya",3.0,3.0,2
2012-01-11,Hindi,movie,Delhi Belly,Imran Khan,3.0,4.0,2
2011-12-30,Tamil,movie,Thiruda Thirudi,Dhanush,4.0,3.0,2
2011-12-23,English,movie,The Ghost Writer,"Ewan McGregor, Pierce Brosnan",3.0,3.0,1
2011-12-19,English,movie,Get Smart,"Steve Carell, Anne Hathaway",2.0,2.0,2
2011-12-19,English,movie,RED,"Bruce Willis, Morgan Freeman, John Malkovich",3.0,2.0,2
2011-12-17,English,movie,Surrogates,Bruce Willis,2.0,3.0,1
2011-12-13,English,movie,Cars 2,"Owen Wilson, Michael Caine",3.0,3.0,2
2011-12-09,English,movie,Shallow Hal,"Gwyneth Paltrow, Jack Black",3.0,3.0,2
2011-12-07,English,movie,The Last Castle,Robert Redford,4.0,4.0,2
2011-12-05,English,movie,The Pink Panther,"Steve Martin, Kevin Kline",3.0,3.0,2
2011-12-01,English,movie,Harry Potter and the Deathly Hallows: Part 2,David Yates,2.0,3.0,1
2011-11-28,Tamil,movie,Arunachalam,Rajnikanth,3.0,3.0,2
2011-11-26,Tamil,movie,7aum Arivu,"Surya, Shruthi Hassan",2.0,2.0,1
2011-11-24,Malayalam,movie,Chanakyan,"Kamal Hassan, Jayaram",4.0,4.0,2
2011-11-21,Tamil,movie,Arasu,"Sarath Kumar, Simran",3.0,3.0,1
2011-11-17,English,non-fiction,The Art of Readable Code,Dustin Boswell,4.0,4.0,2
2011-11-13,Tamil,movie,Vandhaan Vendraan,Jeeva,3.0,3.0,1
2011-10-31,Hindi,movie,Ra.One,Shah Rukh Khan,2.0,2.0,1
2011-08-28,Tamil,movie,Venghai,"Dhanush, Tamanna, Raj Kiran",3.0,3.0,2
2011-08-21,English,movie,X-Men: First Class,"James McAvoy, Michael Fassbender",3.0,3.0,1
2011-08-15,Tamil,movie,Rowthiram,"Jeeva, Shriya",3.0,3.0,2
2011-08-04,English,movie,Pirates of the Caribbean: On Stranger Tides,"Johnny Depp, Penelope Cruz",3.0,3.0,2
2011-08-04,English,movie,Source Code,Jake Gyllenhaal,3.0,3.0,1
2011-08-04,English,movie,Thor,"Chris Hemsworth, Natalie Portman",2.0,2.0,1
2011-07-21,English,movie,In Bruges,"Colin Farrell, Ralph Fiennes",4.0,4.0,1
2011-07-14,Hindi,movie,Angoor,"Sanjeev Kumar, Devan Verma",4.0,4.0,2
2011-07-09,Tamil,movie,Ko,"Jeeva, Karthika Nair",4.0,4.0,2
2011-06-12,Tamil,movie,Boss Engira Bhaskaran,"Arya, Nayantara",3.0,3.0,2
2011-06-09,English,movie,Mr. Smith Goes to Washington,James Stewart,4.0,4.0,2
2011-06-09,English,movie,Unknown,Liam Neeson,2.0,3.0,1
2011-06-09,English,movie,Just Go With It,"Adam Sandler, Jennifer Anniston",2.0,2.0,1
2011-06-06,English,movie,Harry Potter and the Deathly Hallows: Part 1,David Yates,3.0,3.0,2
2011-06-06,English,movie,eXistenZ,Jude Law,2.0,3.0,1
2011-06-05,Telugu,movie,Nijam,Mahesh Babu,2.0,2.0,1
2011-06-05,English,movie,Groundhog Day,"Bill Murray, Annie MacDowell",5.0,4.0,3
2011-06-05,Tamil,movie,Inidhu Inidhu,K V Guhan,3.0,3.0,2
2011-06-01,English,non-fiction,Anything You Want,Derek Sivers,4.0,4.0,2
2011-05-30,Tamil,movie,Jaggubhai,"Sarath Kumar, Shriya",2.0,3.0,1
2011-05-22,Tamil,movie,Thillalangadi,"Jayam Ravi, Tamanna",3.0,3.0,2
2011-05-16,Tamil,movie,Manasellam,"Srikanth, Trisha",2.0,2.0,1
2011-05-16,English,fiction,The Client,John Grisham,3.0,3.0,2
2011-05-10,Hindi,movie,3 Idiots,"Aamir Khan, Bomman Irani, Madhavan",4.0,4.0,3
2011-05-05,Tamil,movie,Oru Oorula Rajakumari,"K Bhagyaraj, Meena",3.0,3.0,2
2011-05-04,Hindi,movie,Rab Ne Bana Di Jodi,"Shah Rukh Khan, Anushka Sharma",3.0,3.0,2
2011-04-30,Hindi,movie,Lakshya,"Hrithik Roshan, Amitabh Bachchan",3.0,4.0,2
2011-04-29,English,fiction,Diary of a Wimpy Kid,Jeff Kinney,2.0,3.0,1
2011-04-28,Hindi,movie,Dhoom,"Abhishek Bachchan, Uday Chopra, John Abraham",3.0,3.0,2
2011-04-26,English,fiction,Angels and Demons,Dan Brown,3.0,3.0,2
2011-04-18,Tamil,movie,Enthiran,"Rajnikanth, Shankar, Aishwarya Rai",3.0,3.0,2
2011-04-15,Tamil,movie,Mappillai,"Dhanush, Manisha Koirala",2.0,2.0,1
2011-04-14,English,movie,Knight and Day,"Tom Cruise, Cameron Diaz",2.0,2.0,1
2011-04-13,English,movie,The Adjustment Bureau,Matt Damon,2.0,2.0,1
2011-04-07,Tamil,movie,Payanam,"Prakash Raj, Nagarjuna",3.0,3.0,2
2011-04-06,Tamil,movie,Manmadan Ambu,"Kamal Hassan, Madhavan, Trisha",4.0,4.0,2
2011-03-30,English,movie,Casino Royale,"Daniel Craig, Eva Green",3.0,3.0,1
2011-03-30,English,movie,Unstoppable,"Denzel Washington, Chris Pine",3.0,3.0,1
2011-03-23,Hindi,movie,Break Ke Baad,"Imran Khan, Deepika Padukone",3.0,3.0,2
2011-03-22,English,movie,Inception,"Christopher Nolan, Leonardo DiCaprio",4.0,5.0,2
2011-03-20,Tamil,movie,Mettukkudi,"Karthik, Nagma",3.0,3.0,2
2011-03-14,English,movie,District 9,"Neill Blomkamp, Sharlto Copley",2.0,3.0,1
2011-03-12,Tamil,movie,Siruthai,"Karthi, Tamanna",3.0,3.0,2
2011-03-10,Tamil,movie,Manadhil Urudhi Vendum,"K Balachandar, Suhasini",4.0,4.0,2
2011-03-09,Hindi,movie,Dabangg,"Salman Khan, Arbaaz Khan",3.0,3.0,1
2011-03-08,English,movie,The Karate Kid,Jackie Chan,3.0,3.0,1
2011-03-03,English,movie,The King's Speech,"Colin Firth, Geoffrey Rush",4.0,5.0,1
2011-03-01,Tamil,movie,Ayya,"Sarath Kumar, Nayanthara",3.0,3.0,2
2011-02-25,English,movie,Percy Jackson & the Lightning Thief,"Logan Lerman, Alexandra Daddario",2.0,2.0,1
2011-02-24,English,movie,The Social Network,David Fincher,4.0,4.0,1
2011-02-22,English,movie,How to Train Your Dragon,"Dean DeBlois, Chris Sanders",3.0,3.0,2
2011-02-20,Hindi,movie,Dilwale Dulhania Le Jayenge,"Shah Rukh Khan, Kajol",4.0,4.0,2
2011-02-14,Tamil,movie,Thenali,Kamal Hassan,4.0,3.0,3
2011-02-12,Hindi,movie,Karthik Calling Karthik,"Farhan Akhtar, Deepika Padukone",3.0,4.0,1
2011-02-09,Hindi,movie,Manchali,"Sanjeev Kumar, Leena Chandavarkar",3.0,3.0,1
2011-02-07,Telugu,movie,Murari,Mahesh Babu,2.0,2.0,1
2011-02-05,Telugu,movie,Athidhi,"Mahesh Babu, Amrita Rao",3.0,3.0,2
2011-02-03,English,non-fiction,"59 Seconds: Think a Little, Change a Lot",Richard Wiseman,4.0,4.0,2
2011-02-01,Hindi,movie,A Wednesday,"Naseer-ud-din Shah, Anupam Kher",4.0,4.0,2
2011-01-25,Tamil,movie,Kavalan,"Vijay, Asin",3.0,4.0,2
2011-01-25,English,movie,The Italian Job,"Mark Walhberg, Charlize Theron, Edward Norton",3.0,3.0,1
2011-01-24,Tamil,movie,VIP,"Prabhudeva, Abbas",2.0,2.0,1
2011-01-19,English,movie,Despicable Me,Steve Carell,3.0,3.0,1
2011-01-14,Tamil,movie,Azhagan,"K Balachandar, Mammootty",4.0,4.0,2
2011-01-11,Hindi,movie,Rocket Singh,Ranbir Kapoor,3.0,4.0,2
2011-01-10,Tamil,movie,Vedikkai En Vadikkai,"Visu, Poornam Viswanathan",3.0,3.0,2
2011-01-06,Malayalam,movie,Mayavi,Mammootty,2.0,2.0,1
2011-01-05,Hindi,movie,Nauker,"Hrishikesh Mukherjee, Sanjeev Kumar, Jaya Bhaduri",3.0,3.0,1
2011-01-04,Tamil,movie,Yaaradi Nee Mohini,"Dhanush, Nayantara",3.0,3.0,2
2011-01-03,English,fiction,The Cobra,Frederick Forsyth,3.0,3.0,2
2011-01-02,Tamil,movie,Uthama Puthiran,"Dhanush, Genelia",3.0,3.0,2
2011-01-01,Tamil,movie,Siddu +2,"Bhagyaraj, Shanthanoo",3.0,3.0,2
2010-12-27,Tamil,movie,Manmadan Ambu,"Kamal Hassan, Madhavan, Trisha",4.0,4.0,2
2010-12-25,Hindi,movie,I Hate Luv Storys,"Imran Khan, Sonam Kapoor",3.0,3.0,1
2010-12-22,Tamil,movie,Chikku Bukku,"Arya, Shriya",3.0,3.0,2
2010-12-14,Tamil,movie,Sathyam,"Vishal, Nayantara",2.0,2.0,1
2010-12-11,Tamil,movie,Uthama Puthiran,"Dhanush, Genelia",3.0,3.0,2
2010-11-30,English,movie,Everything is Illuminated,Elijah Wood,3.0,4.0,1
2010-11-27,English,movie,Castle in the Sky,Hayao Miyazaki,4.0,4.0,1
2010-11-22,Tamil,movie,Vaaranam Aayiram,"Surya, Simran, Sameera Reddy",4.0,4.0,2
2010-11-10,Hindi,movie,Love Aaj Kal,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor",2.0,3.0,1
2011-11-09,English,non-fiction,Disrupting Class,Clayton Christensen,3.0,3.0,2
2011-11-08,Telugu,movie,Chiruta,"Ram Charan Teja, Neha Sharma",2.0,3.0,1
2010-11-03,Hindi,movie,Rajneeti,"Ranbir Kapoor, Ajay Devgan, Nana Patekar",4.0,4.0,2
2010-10-21,Telugu,movie,Arjun,"Mahesh Babu, Prakash Raj, Saritha",3.0,3.0,1
2010-10-11,Telugu,movie,Aata,"Siddharth, Ileana",3.0,3.0,1
2010-10-10,Tamil,movie,Saroja,"Venkat Prabhu, S P Charan, Prakash Raj",4.0,4.0,2
2010-10-05,English,fiction,The Sorceress,Michael Scott,2.0,2.0,2
2010-10-04,Tamil,movie,Enthiran,"Rajnikanth, Shankar, Aishwarya Rai",3.0,3.0,2
2010-10-03,English,movie,Toy Story 3,"Tom Hanks, Tim Allen",3.0,3.0,1
2010-10-03,English,movie,Shrek Forever After,"Mike Myers, Cameron Diaz",4.0,4.0,2
2010-10-03,English,movie,Robin Hood,"Russell Crowe, Cate Blanchett",3.0,3.0,1
2010-10-03,Hindi,movie,Khatta Meetha,"Priyadarshan, Akshay Khanna, Trisha",2.0,2.0,1
2010-09-30,Telugu,movie,Magadheera,"Ram Charan Teja, Kajal Aggarwal",4.0,4.0,2
2010-09-24,English,fiction,And Thereby Hangs A Tale,Jeffrey Archer,4.0,4.0,2
2010-09-24,English,fiction,Artemis Fowl and the Atlantis Complex,Eoin Colfer,2.0,2.0,1
2010-08-11,English,movie,Inception,"Christopher Nolan, Leonardo DiCaprio",4.0,5.0,2
2010-08-09,Tamil,movie,Thambikku Indha Ooru,Bharath,2.0,2.0,2
2010-07-10,Tamil,movie,Ninaithaale Inikkum,"Prithviraj, Bhagyaraj",2.0,2.0,1
2010-07-01,Tamil,movie,Naanayam,"Prasanna, Sibiraj, SPB",4.0,4.0,2
2010-06-19,Tamil,movie,Kanda Naal Mudhal,"Prasanna, Laila",4.0,4.0,3
2010-06-19,Tamil,movie,Raavanan,"Mani Rathnam, Vikram, Aishwarya Rai",4.0,4.0,2
2010-06-15,Tamil,movie,Sullaan,"Dhanush, Sindhu Tolani",2.0,2.0,1
2010-06-13,Tamil,movie,Kola Kolaiya Mundhirikka,"Karthik, Shikha, Crazy Mohan",3.0,3.0,2
2010-06-12,Tamil,movie,Kutty,"Dhanush, Shriya",2.0,3.0,1
2010-06-11,Tamil,movie,Vinnai Thaandi Varuvaaya,"Silambarasan, Trisha, Gautam Menon",2.0,3.0,1
2010-06-09,Tamil,movie,Irumbu Kottai Murattu Singam,"Simbudevan, Lawrence Raghavendra",3.0,3.0,2
2010-06-08,Tamil,movie,Goa,"Venkat Prabhu, Premji Amaran",3.0,3.0,2
2010-06-07,Tamil,movie,Singam,"Surya, Hari",3.0,3.0,2
2010-06-06,English,fiction,Joker in the Pack,"Ritesh Sharma, Neeraj Pahlajani",2.0,3.0,1
2010-06-04,Tamil,movie,Paiyya,"Karthi, Tamanna",3.0,3.0,2
2010-06-02,Tamil,movie,Baasha,"Rajnikanth, Nagma",4.0,3.0,3
2010-05-23,Tamil,movie,Sura,Vijay,2.0,2.0,1
2010-05-15,Tamil,movie,Vettaikkaran,Vijay,2.0,2.0,1
2010-05-09,English,fiction,The Battle of the Labyrinth,Rick Riordan,3.0,3.0,2
2010-05-07,English,non-fiction,Rework,"Jason Fried, David Heinemeier Hansson",4.0,4.0,2
2010-05-05,English,fiction,The Titan's Curse,Rick Riordan,3.0,3.0,2
2010-05-03,English,fiction,The Sea of Monsters,Rick Riordan,3.0,3.0,2
2010-05-01,English,fiction,The Lightning Thief,Rick Riordan,3.0,3.0,2
2010-04-29,English,fiction,The Last Olympian,Rick Riordan,3.0,3.0,2
2010-04-20,Tamil,movie,Machakkaran,"Jeevan, Kamna",2.0,3.0,1
2010-04-12,Tamil,movie,Naanayam,"Prasanna, Sibiraj, SPB",4.0,4.0,2
2010-03-23,English,movie,Spartacus,"Stanley Kubrick, Kirk Douglas, Laurence Olivier, Charles Loughton",4.0,4.0,1
2010-03-15,Tamil,movie,Anubavi Raja Anubavi,"K Balachandar, Nagesh",4.0,4.0,3
2010-03-11,Tamil,movie,Theeradha Vilayattu Pillai,Vishal,3.0,3.0,1
2010-03-06,Tamil,movie,Kanda Naal Mudhal,"Prasanna, Laila",4.0,4.0,3
2010-03-04,English,non-fiction,Smart and Gets Things Done,Joel Spolsky,4.0,4.0,2
2010-03-02,Tamil,movie,Azhagiya Theeye,"Prakash Raj, Prasanna, Navya Nair",5.0,4.0,3
2010-02-28,Tamil,movie,Server Sundaram,Nagesh,4.0,4.0,2
2010-02-21,Tamil,movie,Thamizh Padam,"Amudhan, Siva",3.0,3.0,1
2010-02-21,Tamil,movie,Asal,Ajith,2.0,2.0,1
2010-02-20,Tamil,movie,Sakalakala Vallavan,"Kamal Hassan, Ambika",2.0,2.0,1
2010-02-19,English,movie,The Hire,Clive Owen,3.0,4.0,1
2010-02-19,English,movie,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,4.0,4.0,2
2010-02-17,English,movie,Harry Potter and the Chamber of Secrets,Chris Columbus,3.0,3.0,2
2010-02-14,Tamil,movie,Aayirathil Oruvan,"Selvaraghavan, Parthi, Reema Sen",4.0,5.0,1
2010-02-13,English,movie,Harry Potter and the Sorcerer's Stone,Chris Columbus,3.0,3.0,2
2010-02-11,Hindi,movie,Wake Up Sid,"Ranbir Kapoor, Konkona Sen",3.0,4.0,1
2010-02-11,Hindi,movie,Sunday,"Ajay Devgan, Ayesha Takia",4.0,4.0,1
2010-02-11,Hindi,movie,Dillagi,"Dharmendra, Hema Malini",4.0,4.0,2
2010-02-10,Hindi,movie,Jab We Met,"Kareena Kapoor, Shahid Kapoor",4.0,4.0,2
2010-02-08,Telugu,movie,Athadu,"Mahesh Babu, Trisha",3.0,3.0,2
2010-02-06,English,movie,Inside Man,"Denzel Washington, Jodie Foster",5.0,5.0,2
2010-02-06,English,movie,Kindergarten Cop,"Arnold Schwarzenegger, Penelope Ann Miller",3.0,3.0,2
2010-02-06,Hindi,movie,De Dana Dan,"Priyadarshan, Akshay Kumar, Paresh Rawal",3.0,3.0,1
2010-02-06,English,movie,The Informant!,Matt Damon,2.0,3.0,1
2010-02-06,English,movie,Up,Pixar,3.0,3.0,1
2010-02-02,English,non-fiction,Isn't It Obvious?,Eliyahu M. Goldratt,3.0,3.0,1
2010-02-01,Hindi,movie,3 Idiots,"Aamir Khan, Bomman Irani, Madhavan",4.0,4.0,3
2010-01-15,Telugu,movie,Athadu,"Mahesh Babu, Trisha",3.0,3.0,2
2010-01-14,English,fiction,Slumdog Millionaire,Vikas Swarup,4.0,4.0,2
2010-01-13,English,fiction,Keep Off the Grass,Karan Bajaj,2.0,2.0,1
2010-01-08,English,fiction,The 3 Mistakes of My Life,Chetan Bhagat,3.0,3.0,1
2010-01-07,English,movie,Avatar,James Cameron,4.0,5.0,2
2009-12-26,Tamil,movie,Kanden Kadhalai,"Bharath, Tamanna",2.0,2.0,2
2009-12-24,Tamil,movie,Kovil,"Hari, Silambarasan, Sonia Agarwal",3.0,3.0,1
2009-12-20,Tamil,movie,Thiruvannamalai,Arjun,2.0,2.0,1
2009-12-18,Hindi,movie,What's Your Rashee,"Ashotosh Gowarikar, Priyanka Chopra",3.0,3.0,2
2009-12-14,Tamil,movie,Unnaipol Oruvan,"Kamal Hassan, Mohan Lal",3.0,3.0,1
2009-11-20,English,fiction,2 States,Chetan Bhagat,3.0,3.0,2
2009-11-15,Tamil,movie,Mumbai Express,Kamal Hassan,4.0,3.0,3
2009-11-08,English,movie,Harry Potter and the Half Blood Prince,David Yates,4.0,4.0,2
2009-11-08,Hindi,movie,Rang De Basanti,"Aamir Khan, Siddharth, Madhavan",4.0,5.0,2
2009-10-31,English,movie,The Taking of Pelham 123,"Denzel Washington, John Travolta",3.0,3.0,2
2009-10-24,English,movie,Jackie Chan's First Strike,Jackie Chan,3.0,3.0,2
2009-10-24,Hindi,movie,Ek Hasina Thi,"Urmila Matondkar, Saif Ali Khan",4.0,4.0,1
2009-10-23,English,movie,Jaws,Steven Spielberg,4.0,4.0,2
2009-10-22,Tamil,movie,Sarvam,"Arya, Trisha",4.0,4.0,1
2009-10-21,Tamil,movie,Samudhram,"KS Ravikumar, Sarath Kumar",3.0,3.0,1
2009-10-19,Tamil,movie,Suyamvaram,"Bhagyaraj, Parthiban",3.0,3.0,1
2009-10-17,Tamil,movie,Rettai Vaal Kuruvi,"Balu Mahendra, Mohan, Radhika",3.0,4.0,2
2009-10-16,Hindi,movie,Krrish,"Hrithik Roshan, Priyanka Chopra",3.0,3.0,2
2009-10-13,Hindi,movie,Chup Chup Ke,"Priyadarshan, Shahid Kapoor, Kareena, Kapoor",4.0,4.0,2
2009-10-10,English,movie,FX2,"Bryan Brown, Brian Dennehy",3.0,3.0,2
2009-10-09,Tamil,movie,Dishoom,"Jeeva, Sandhya",2.0,3.0,1
2009-10-06,Tamil,movie,Gilli,"Vijay, Trisha, Prakash Raj",4.0,4.0,3
2009-10-05,Tamil,movie,Thiruppachi,"Vijay, Trisha",2.0,2.0,1
2009-10-02,English,movie,The Sentinel,"Michael Douglas, Keiffer Sutherland",3.0,3.0,1
2009-10-01,Tamil,movie,Thimiru,"Vishal, Reema Sen",2.0,2.0,2
2009-09-30,English,movie,Bride Wars,"Anna Hathaway, Kate Hudson",2.0,2.0,1
2009-09-28,Hindi,movie,Mere Baap Pehle Aap,"Akshay Khanna, Genelia",4.0,4.0,2
2009-09-26,Hindi,movie,Jaane Tu Ya Jaane Na,"Imran Khan, Genelia",3.0,3.0,2
2009-09-26,Hindi,movie,Hum Tum,"Saif Ali Khan, Rani Mukherji",4.0,4.0,3
2009-09-24,Tamil,movie,Vaathiyaar,"Arjun, Mallika Kapoor",2.0,2.0,1
2009-09-22,Tamil,movie,Nenjil Jil Jil,"Navdeep, Aparna",2.0,2.0,1
2009-09-20,English,fiction,The Lost Symbol,Dan Brown,2.0,2.0,1
2009-09-16,Tamil,movie,Kandasamy,"Vikram, Shriya",2.0,2.0,1
2009-09-01,English,movie,The Majestic,Jim Carrey,3.0,4.0,1
2009-08-30,Tamil,movie,Chatrapathi,Sarath Kumar,2.0,2.0,1
2009-08-08,English,non-fiction,Slack,Tom DeMarco,4.0,4.0,2
2009-08-06,English,movie,V for Vendetta,Natalie Portman,5.0,5.0,2
2009-08-04,English,movie,Ratatouille,"Patton Oswalt, Brad Bird",4.0,4.0,2
2009-08-01,Tamil,movie,Unnai Thedi,"Ajith, Malavika",3.0,3.0,2
2009-07-28,Tamil,movie,Arunachalam,Rajnikanth,3.0,3.0,2
2009-07-25,Tamil,movie,Poo,"Sasi, Srikanth",4.0,5.0,1
2009-07-23,Tamil,movie,Vasool Raja,"Kamal Hassan, Sneha, Prakash Raj, Prabhu",4.0,3.0,3
2009-07-21,Tamil,movie,Mumbai Express,Kamal Hassan,4.0,3.0,3
2009-07-20,Tamil,movie,Vambu Sandai,"Uday Kiran, Sathyaraj",2.0,2.0,1
